Camera TTC,Lidar TTC
6.95324e-310,2.96439e-323
13.0822,12.9722
13.3982,12.264
28.2302,16.963
22.1695,6.51271
46.4846,384.178
9.19978,13.869
10.3581,14.026
-inf,12.9569
140.565,15.8894
9.43013,9.85736
19.4803,14.9877
12.7414,10.1
15.9498,9.22307
13.145,10.9678
13.1413,8.09422
10.6994,8.81392
16.7035,10.2926
14.4987,8.30978
12.4385,7.64316
7.61469,5.45869
8.44408,6.8337
30.1539,6.80636
12.6216,8.43069
11.1017,6.70212
30.621,6.82999
14.2702,8.45277
-inf,7.06
43.8522,12.6681
40.7292,7.25063
18.3268,7.24126
48.3507,10.4382
38.1944,10.9404
16.9098,9.22618
10.7348,7.60959
8.2538,6.59279
9.22891,10.6294
6.08666,7.03287
10.3594,4.46839
20.0578,12.0581
22.8556,3.82803
34.3953,8.76489
9.8554,13.0475
8.58855,6.51064
-inf,7.4123
10.8467,6.2395
91.04,5.68291
-inf,9.81491
-inf,12.0394
59.592,13.7636
64.9,13.6636
-inf,12.0866
-inf,13.053
-inf,-443.932
-inf,-222.066
-50.7679,-222.166
-37.4579,222.066
-inf,-222.166
-inf,-74.1495
-inf,111.133
-inf,-444.632
-inf,88.818
-inf,-63.5431
-inf,-89.058
-inf,55.5632
-inf,63.4003
-inf,-148.044
-inf,-63.5431
-inf,inf
-inf,-222.516
-inf,49.3454
-inf,147.944
-inf,-44.4811
-inf,444.732
-inf,74.0161
-inf,147.944
-inf,-29.6869
