Camera TTC,Lidar TTC
6.95321e-310,2.96439e-323
12.0019,12.9722
15.0814,12.264
14.9195,16.963
24.2471,6.51271
15.0725,384.178
12.6006,13.869
15.0932,14.026
15.8058,12.9569
12.1096,15.8894
11.3219,9.85736
11.9296,14.9877
11.433,10.1
9.27531,9.22307
10.2517,10.9678
9.43454,8.09422
8.65329,8.81392
8.96247,10.2926
9.42847,8.30978
8.50609,7.64316
8.14131,5.45869
9.87002,6.8337
8.55431,6.80636
12.3373,8.43069
8.26483,6.70212
9.17664,6.82999
9.45001,8.45277
8.92919,7.06
9.33658,12.6681
10.6596,7.25063
11.2874,7.24126
10.8631,10.4382
13.6073,10.9404
10.3687,9.22618
10.7127,7.60959
8.76291,6.59279
8.01704,10.6294
7.79869,7.03287
7.76727,4.46839
8.38338,12.0581
7.18766,3.82803
7.05149,8.76489
6.33073,13.0475
6.91193,6.51064
7.29485,7.4123
7.8887,6.2395
8.49338,5.68291
9.16438,9.81491
11.2018,12.0394
11.8863,13.7636
15.948,13.6636
18.1858,12.0866
34.1203,13.053
83.623,-443.932
-101.184,-222.066
-82.2443,-222.166
174.181,222.066
1362.88,-222.166
-293.186,-74.1495
-443.353,111.133
-728.401,-444.632
-336.175,88.818
689.24,-63.5431
-417.759,-89.058
-395.278,55.5632
-394.325,63.4003
-349.356,-148.044
-380.26,-63.5431
1341.67,inf
-518.521,-222.516
-370.26,49.3454
-1608.75,147.944
835.282,-44.4811
-1818.13,444.732
2459.2,74.0161
-6195.36,147.944
2402.48,-29.6869
