Camera TTC,Lidar TTC
6.95312e-310,2.96439e-323
19.4668,12.9722
13.599,12.264
12.0855,13.9161
20.001,7.11572
538.829,16.2511
10.8334,12.4213
12.8717,34.3404
10.6521,18.7875
13.1221,15.8894
14.7536,9.85736
7.78781,3.83244
52.7806,-10.8537
11.6895,9.22307
9.48525,10.9678
8.72363,8.09422
11.4315,3.17535
17.2956,-9.99424
25.6678,8.30978
5.58948,7.64316
8.81016,4.73885
10.1056,5.2553
9.42114,9.69387
12.0427,8.43069
10.1255,6.92554
14.6863,7.14768
57.3149,9.97707
-inf,7.06
-inf,12.6681
-inf,2.65648
14.3995,-10.5327
-inf,11.0404
24.1799,10.9404
290.901,9.22618
20.7188,7.60959
8.2325,6.59279
9.90647,10.6294
6.01364,3.46645
12.362,12.7513
-inf,12.0581
65.1881,3.82803
15.1326,6.3782
33.5073,4.73011
59.2018,-44.3922
-inf,7.4123
556.578,6.2395
-inf,5.68291
-inf,9.81491
-inf,12.0394
-inf,13.7636
-inf,13.6636
-inf,12.0866
-inf,13.053
-inf,-443.932
-inf,-222.066
-25.531,-222.166
-inf,222.066
-inf,-222.166
-inf,-74.1495
-inf,111.133
-inf,-444.632
-inf,88.818
-inf,-63.5431
-inf,-89.058
-inf,55.5632
-inf,63.4003
-inf,-148.044
-inf,-63.5431
-inf,inf
-inf,-222.516
-inf,49.3454
-inf,147.944
-inf,-44.4811
-inf,444.732
-inf,74.0161
-inf,147.944
-inf,-29.6869
