Camera TTC,Lidar TTC
6.95318e-310,2.96439e-323
12.9834,12.9722
16.0654,12.264
16.6949,13.9161
12.5648,7.11572
26.358,16.2511
14.504,12.4213
13.9999,34.3404
17.0295,18.7875
17.8988,15.8894
14.6452,9.85736
15.9857,3.83244
11.7122,-10.8537
13.3127,9.22307
10.5612,10.9678
14.2108,8.09422
11.0452,3.17535
10.1474,-9.99424
12.3189,8.30978
10.7251,7.64316
11.611,4.73885
9.97827,5.2553
10.771,9.69387
11.2425,8.43069
11.2144,6.92554
10.3215,7.14768
12.8607,9.97707
17.853,7.06
15.7078,12.6681
15.1559,2.65648
18.9723,-10.5327
18.5384,11.0404
18.913,10.9404
18.8186,9.22618
13.9175,7.60959
10.2331,6.59279
8.90865,10.6294
9.16204,3.46645
10.7014,12.7513
9.32009,12.0581
10.7603,3.82803
8.37647,6.3782
6.49649,4.73011
8.26607,-44.3922
9.2716,7.4123
8.57229,6.2395
9.29743,5.68291
11.033,9.81491
12.6533,12.0394
14.4955,13.7636
19.9482,13.6636
27.2026,12.0866
57.0964,13.053
163.47,-443.932
-186.553,-222.066
-77.3105,-222.166
-275.484,222.066
-16191.1,-222.166
-366.626,-74.1495
-319.883,111.133
-4437.29,-444.632
-367.571,88.818
-456.634,-63.5431
-941.613,-89.058
-685.134,55.5632
-1993.51,63.4003
-377.988,-148.044
-582.286,-63.5431
-860.541,inf
-531.366,-222.516
-867.046,49.3454
53735.4,147.944
1914.15,-44.4811
-1361.33,444.732
31522.7,74.0161
3481.61,147.944
13208.9,-29.6869
