Camera TTC,Lidar TTC
6.95266e-310,2.96439e-323
6.95266e-310,2.96439e-323
-inf,12.264
-inf,12.264
12.7384,6.51271
12.7213,384.178
-inf,13.869
12.8854,10.3493
38.4683,18.7875
10.2547,15.8894
10.378,9.85736
20.9942,14.9877
11.8135,10.1
11.3783,9.22307
11.4218,10.9678
11.9062,8.09422
9.34572,8.81392
-inf,10.2926
-inf,10.2926
-inf,10.2926
11.2036,5.32421
11.2036,5.32421
11.3035,6.80636
11.3035,6.80636
11.3035,6.80636
11.3035,6.80636
-inf,9.97707
32.6629,7.06
68.7755,12.6681
27.4515,7.25063
13.9921,7.24126
12.7596,11.0404
-inf,10.9404
14.3469,9.22618
17.722,7.60959
11.5751,6.59279
11.1985,10.6294
7.58052,7.03287
-inf,6.49878
-15.2624,12.0581
18.2785,3.82803
277.752,8.76489
144.734,13.0475
75.9763,6.51064
-inf,7.4123
15.9249,6.2395
22.3726,5.68291
361.977,9.81491
-inf,12.0394
97.5685,13.7636
-inf,13.6636
-inf,12.0866
-inf,13.053
-inf,-443.932
-inf,-222.066
-inf,-222.166
-inf,222.066
-inf,-222.166
-inf,-74.1495
-inf,111.133
-inf,-444.632
-inf,88.818
-inf,-63.5431
-inf,-89.058
-inf,55.5632
-inf,63.4003
-inf,-148.044
-inf,-63.5431
-inf,inf
-inf,-222.516
-inf,49.3454
-inf,147.944
-inf,-44.4811
-inf,444.732
-inf,74.0161
-inf,147.944
-inf,-29.6869
