Camera TTC,Lidar TTC
6.9531e-310,2.96439e-323
12.4103,12.9722
14.646,12.264
13.2294,16.963
14.1141,6.51271
16.5981,384.178
13.9616,13.869
15.7664,14.026
13.7666,12.9569
14.0783,15.8894
11.7502,9.85736
12.2176,14.9877
11.1699,10.1
10.8611,9.22307
10.4743,10.9678
9.94151,8.09422
10.0291,8.81392
9.02048,10.2926
8.9967,8.30978
9.63606,7.64316
8.93322,5.45869
8.71454,6.8337
7.86739,6.80636
8.8036,8.43069
8.61103,6.70212
9.51247,6.82999
10.469,8.45277
10.8446,7.06
9.43156,12.6681
9.4424,7.25063
10.2157,7.24126
11.5941,10.4382
11.7597,10.9404
11.0197,9.22618
9.47863,7.60959
8.4869,6.59279
7.58081,10.6294
7.76848,7.03287
10.4341,4.46839
9.86975,12.0581
8.69502,3.82803
9.44624,8.76489
7.58667,13.0475
8.39907,6.51064
9.94023,7.4123
8.61489,6.2395
10.3245,5.68291
9.9362,9.81491
11.6476,12.0394
14.3013,13.7636
18.1623,13.6636
23.2676,12.0866
41.3615,13.053
126.733,-443.932
-100.879,-222.066
-71.3441,-222.166
-1771.68,222.066
-675.593,-222.166
-131.327,-74.1495
-311.239,111.133
-374.883,-444.632
-367.666,88.818
-316.969,-63.5431
-379.185,-89.058
-321.941,55.5632
-432.364,63.4003
-273.447,-148.044
-334.319,-63.5431
-446.18,inf
-522.862,-222.516
-242.158,49.3454
-1345.33,147.944
1676.46,-44.4811
-1928.17,444.732
1489.24,74.0161
1600.43,147.944
4352.61,-29.6869
