Camera TTC,Lidar TTC
6.95263e-310,2.96439e-323
11.8021,12.9722
13.8526,12.264
13.674,13.9161
20.5542,7.11572
15.5406,16.2511
10.7762,12.4213
15.7134,34.3404
15.2157,18.7875
13.647,15.8894
11.3858,9.85736
12.9654,3.83244
10.3343,-10.8537
10.0189,9.22307
9.69186,10.9678
9.42509,8.09422
9.0902,3.17535
9.49963,-9.99424
9.36821,8.30978
8.49323,7.64316
8.31635,4.73885
9.144,5.2553
8.14225,9.69387
9.12753,8.43069
8.34386,6.92554
9.14887,7.14768
9.94953,9.97707
9.46107,7.06
9.84436,12.6681
10.3089,2.65648
10.8939,-10.5327
10.5306,11.0404
12.5773,10.9404
10.9589,9.22618
8.9787,7.60959
8.76396,6.59279
7.84502,10.6294
8.16365,3.46645
7.15232,12.7513
7.77636,12.0581
7.27047,3.82803
7.39041,6.3782
6.08953,4.73011
6.52832,-44.3922
7.78581,7.4123
7.62169,6.2395
7.85349,5.68291
8.86347,9.81491
10.2473,12.0394
11.3121,13.7636
15.1465,13.6636
18.074,12.0866
33.3501,13.053
77.3371,-443.932
-93.0513,-222.066
-94.0876,-222.166
227.332,222.066
3280.42,-222.166
-247.84,-74.1495
-287.264,111.133
-726.592,-444.632
-401.589,88.818
1052.08,-63.5431
-306.016,-89.058
-475.396,55.5632
-541.804,63.4003
-262.143,-148.044
-361.51,-63.5431
1496.88,inf
-513.245,-222.516
-408.768,49.3454
-2224.69,147.944
664.757,-44.4811
-1213.8,444.732
2824.92,74.0161
-108279,147.944
1414.36,-29.6869
